filename,path,label,sqi,source
e01789.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01789.wav,0,1,e
e00955.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00955.wav,0,1,e
e00757.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00757.wav,0,1,e
f0108.wav,product\audio_preprocessing\data\physionet_2016\training-f\f0108.wav,0,1,f
e00534.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00534.wav,0,1,e
e02104.wav,product\audio_preprocessing\data\physionet_2016\training-e\e02104.wav,0,1,e
e01876.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01876.wav,0,1,e
b0138.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0138.wav,0,1,b
a0052.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0052.wav,1,1,a
e02103.wav,product\audio_preprocessing\data\physionet_2016\training-e\e02103.wav,0,1,e
e00451.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00451.wav,0,1,e
e00404.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00404.wav,0,1,e
e01825.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01825.wav,0,1,e
e00402.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00402.wav,0,1,e
b0256.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0256.wav,0,1,b
e00082.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00082.wav,0,1,e
e00511.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00511.wav,0,1,e
f0073.wav,product\audio_preprocessing\data\physionet_2016\training-f\f0073.wav,0,1,f
b0039.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0039.wav,0,1,b
a0197.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0197.wav,1,1,a
e01664.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01664.wav,0,1,e
e01343.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01343.wav,0,1,e
e01857.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01857.wav,1,1,e
b0268.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0268.wav,0,1,b
e01718.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01718.wav,0,1,e
d0031.wav,product\audio_preprocessing\data\physionet_2016\training-d\d0031.wav,0,1,d
a0211.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0211.wav,0,1,a
e01509.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01509.wav,0,1,e
e02075.wav,product\audio_preprocessing\data\physionet_2016\training-e\e02075.wav,0,1,e
e00261.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00261.wav,0,1,e
a0364.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0364.wav,1,1,a
e01701.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01701.wav,0,1,e
b0120.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0120.wav,1,0,b
e01803.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01803.wav,0,1,e
c0002.wav,product\audio_preprocessing\data\physionet_2016\training-c\c0002.wav,1,1,c
b0237.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0237.wav,0,1,b
e01498.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01498.wav,0,1,e
e00938.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00938.wav,0,1,e
a0118.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0118.wav,0,1,a
e00173.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00173.wav,0,1,e
e01989.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01989.wav,0,1,e
e00387.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00387.wav,0,1,e
e00799.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00799.wav,0,1,e
e00591.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00591.wav,1,0,e
a0038.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0038.wav,0,1,a
d0042.wav,product\audio_preprocessing\data\physionet_2016\training-d\d0042.wav,1,1,d
e01833.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01833.wav,0,1,e
e00513.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00513.wav,0,1,e
a0047.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0047.wav,1,1,a
e01722.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01722.wav,0,1,e
b0334.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0334.wav,1,1,b
e01669.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01669.wav,0,1,e
e01107.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01107.wav,0,1,e
b0358.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0358.wav,0,0,b
e01079.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01079.wav,0,1,e
f0068.wav,product\audio_preprocessing\data\physionet_2016\training-f\f0068.wav,1,1,f
a0380.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0380.wav,1,1,a
e00441.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00441.wav,0,1,e
b0221.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0221.wav,1,1,b
e00657.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00657.wav,1,1,e
e00212.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00212.wav,0,1,e
e01448.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01448.wav,0,1,e
e01477.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01477.wav,0,1,e
b0128.wav,product\audio_preprocessing\data\physionet_2016\training-b\b0128.wav,0,1,b
e00283.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00283.wav,0,1,e
e00839.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00839.wav,0,1,e
e00590.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00590.wav,0,1,e
e00564.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00564.wav,0,1,e
e00271.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00271.wav,0,1,e
e01321.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01321.wav,0,1,e
e01038.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01038.wav,0,1,e
a0162.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0162.wav,1,1,a
a0158.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0158.wav,1,1,a
e01303.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01303.wav,0,1,e
e00088.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00088.wav,0,1,e
a0127.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0127.wav,0,1,a
e01010.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01010.wav,0,1,e
e01837.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01837.wav,0,1,e
e01402.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01402.wav,0,1,e
e00820.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00820.wav,0,1,e
e01796.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01796.wav,0,1,e
e00494.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00494.wav,0,1,e
e01621.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01621.wav,0,1,e
e00059.wav,product\audio_preprocessing\data\physionet_2016\training-e\e00059.wav,1,1,e
e01757.wav,product\audio_preprocessing\data\physionet_2016\training-e\e01757.wav,0,1,e
a0104.wav,product\audio_preprocessing\data\physionet_2016\training-a\a0104.wav,1,1,a
